card_id,set_codigo,numero,nome,image_url,label
svp-001,SVP,001,Sprigatito,https://assets.tcgdex.net/en/sv/svp/001/high.png,0
svp-002,SVP,002,Fuecoco,https://assets.tcgdex.net/en/sv/svp/002/high.png,0
svp-003,SVP,003,Quaxly,https://assets.tcgdex.net/en/sv/svp/003/high.png,0
svp-004,SVP,004,Mimikyu ex,https://assets.tcgdex.net/en/sv/svp/004/high.png,0
svp-005,SVP,005,Quaquaval,https://assets.tcgdex.net/en/sv/svp/005/high.png,0
svp-006,SVP,006,Pawmot,https://assets.tcgdex.net/en/sv/svp/006/high.png,0
svp-007,SVP,007,Hawlucha,https://assets.tcgdex.net/en/sv/svp/007/high.png,0
svp-008,SVP,008,Revavroom,https://assets.tcgdex.net/en/sv/svp/008/high.png,0
svp-009,SVP,009,Spidops,https://assets.tcgdex.net/en/sv/svp/009/high.png,0
svp-010,SVP,010,Espathra,https://assets.tcgdex.net/en/sv/svp/010/high.png,0
svp-011,SVP,011,Arcanine,https://assets.tcgdex.net/en/sv/svp/011/high.png,0
svp-012,SVP,012,Dondozo,https://assets.tcgdex.net/en/sv/svp/012/high.png,0
svp-013,SVP,013,Miraidon,https://assets.tcgdex.net/en/sv/svp/013/high.png,0
svp-014,SVP,014,Koraidon,https://assets.tcgdex.net/en/sv/svp/014/high.png,0
svp-015,SVP,015,Flaaffy,https://assets.tcgdex.net/en/sv/svp/015/high.png,0
svp-016,SVP,016,Ampharos ex,https://assets.tcgdex.net/en/sv/svp/016/high.png,0
svp-017,SVP,017,Lucario ex,https://assets.tcgdex.net/en/sv/svp/017/high.png,0
svp-018,SVP,018,Cyclizar ex,https://assets.tcgdex.net/en/sv/svp/018/high.png,0
svp-019,SVP,019,Baxcalibur,https://assets.tcgdex.net/en/sv/svp/019/high.png,0
svp-020,SVP,020,Tinkaton,https://assets.tcgdex.net/en/sv/svp/020/high.png,0
svp-021,SVP,021,Murkrow,https://assets.tcgdex.net/en/sv/svp/021/high.png,0
svp-022,SVP,022,Pelipper,https://assets.tcgdex.net/en/sv/svp/022/high.png,0
svp-023,SVP,023,Smoliv,https://assets.tcgdex.net/en/sv/svp/023/high.png,0
svp-024,SVP,024,Growlithe,https://assets.tcgdex.net/en/sv/svp/024/high.png,0
svp-025,SVP,025,Tinkatink,https://assets.tcgdex.net/en/sv/svp/025/high.png,0
svp-026,SVP,026,Varoom,https://assets.tcgdex.net/en/sv/svp/026/high.png,0
svp-027,SVP,027,Pikachu,https://assets.tcgdex.net/en/sv/svp/027/high.png,0
svp-028,SVP,028,Miraidon ex,https://assets.tcgdex.net/en/sv/svp/028/high.png,0
svp-029,SVP,029,Koraidon ex,https://assets.tcgdex.net/en/sv/svp/029/high.png,0
svp-030,SVP,030,Chien-Pao ex,https://assets.tcgdex.net/en/sv/svp/030/high.png,0
svp-031,SVP,031,Tinkaton ex,https://assets.tcgdex.net/en/sv/svp/031/high.png,0
svp-032,SVP,032,Annihilape ex,https://assets.tcgdex.net/en/sv/svp/032/high.png,0
svp-033,SVP,033,Meowscarada ex,https://assets.tcgdex.net/en/sv/svp/033/high.png,0
svp-034,SVP,034,Skeledirge ex,https://assets.tcgdex.net/en/sv/svp/034/high.png,0
svp-035,SVP,035,Quaquaval ex,https://assets.tcgdex.net/en/sv/svp/035/high.png,0
