card_id,set_codigo,era,numero,nome,image_url,label
sv10.5w-001,WHT,SV,001,Sewaddle,https://assets.tcgdex.net/en/sv/sv10.5w/001/high.png,0
sv10.5w-002,WHT,SV,002,Swadloon,https://assets.tcgdex.net/en/sv/sv10.5w/002/high.png,0
sv10.5w-003,WHT,SV,003,Leavanny,https://assets.tcgdex.net/en/sv/sv10.5w/003/high.png,0
sv10.5w-004,WHT,SV,004,Cottonee,https://assets.tcgdex.net/en/sv/sv10.5w/004/high.png,0
sv10.5w-005,WHT,SV,005,Whimsicott ex,https://assets.tcgdex.net/en/sv/sv10.5w/005/high.png,0
sv10.5w-006,WHT,SV,006,Deerling,https://assets.tcgdex.net/en/sv/sv10.5w/006/high.png,0
sv10.5w-007,WHT,SV,007,Sawsbuck,https://assets.tcgdex.net/en/sv/sv10.5w/007/high.png,0
sv10.5w-008,WHT,SV,008,Shelmet,https://assets.tcgdex.net/en/sv/sv10.5w/008/high.png,0
sv10.5w-009,WHT,SV,009,Accelgor,https://assets.tcgdex.net/en/sv/sv10.5w/009/high.png,0
sv10.5w-010,WHT,SV,010,Virizion,https://assets.tcgdex.net/en/sv/sv10.5w/010/high.png,0
sv10.5w-011,WHT,SV,011,Tepig,https://assets.tcgdex.net/en/sv/sv10.5w/011/high.png,0
sv10.5w-012,WHT,SV,012,Pignite,https://assets.tcgdex.net/en/sv/sv10.5w/012/high.png,0
sv10.5w-013,WHT,SV,013,Emboar,https://assets.tcgdex.net/en/sv/sv10.5w/013/high.png,0
sv10.5w-014,WHT,SV,014,Pansear,https://assets.tcgdex.net/en/sv/sv10.5w/014/high.png,0
sv10.5w-015,WHT,SV,015,Simisear,https://assets.tcgdex.net/en/sv/sv10.5w/015/high.png,0
sv10.5w-016,WHT,SV,016,Litwick,https://assets.tcgdex.net/en/sv/sv10.5w/016/high.png,0
sv10.5w-017,WHT,SV,017,Lampent,https://assets.tcgdex.net/en/sv/sv10.5w/017/high.png,0
sv10.5w-018,WHT,SV,018,Chandelure,https://assets.tcgdex.net/en/sv/sv10.5w/018/high.png,0
